arc-gtk-theme 20221218-2
arch-update 3.15.0-1
aurutils 20.5.2-1
burpsuite 2025.8.2-1
dirbuster 1.0_RC1-10
i3lock-color 2.13.c.5-3
nmap-netcat 1.0-4
pinta 3.0.3-1
powershell 7.5.2-1
python-dicttoxml 1.7.16-2
python-pywal16 1:3.8.9-3
python-rq 2.5-1
python-unicodecsv 0.14.1-4
recon-ng 5.1.2-2
reflector-simple 3.3-1
social-engineer-toolkit 8.0.3-4
steghide 0.5.1-13
stegseek 0.6-1
ttf-comic-sans 5.14-1
ttf-comic-shanns-nerd 2.1.0-1
volantes-cursors-git r7.b13a4bb-1
vscodium-bin 1.103.15539-1
yay 12.5.0-1
