7zip 25.01-1
aircrack-ng 1.7-5
alacritty 0.15.1-1
alsa-utils 1.2.14-1
apache 2.4.63-3
arc-gtk-theme 20221218-2
arch-update 3.15.0-1
audacity 1:3.7.5-1
aurutils 20.5.2-1
axel 2.17.14-1
base 3-2
base-devel 1-2
bat 0.25.0-4
bat-extras 2024.08.24-1
bleachbit 5.0.0-1
brightnessctl 0.5.1-3
burpsuite 2025.8.1-1
cheese 44.1-5
cherrytree 1.5.0-1
cmatrix 2.0-4
conky 1.22.2-1
dirbuster 1.0_RC1-10
docker 1:28.3.3-1
docker-compose 2.39.2-1
dosfstools 4.2-5
dunst 1.12.2-1
entr 5.7-1
exo 4.20.0-2
expac 10-11
fastfetch 2.50.2-1
fd 10.2.0-1
feh 3.10.3-1
firefox 141.0.3-1
fzf 0.65.1-1
galculator 2.1.4-10
garcon 4.20.0-2
git 2.50.1-3
gparted 1.7.0-1
grub 2:2.12.r292.g73d1c959-1
gst-plugin-pipewire 1:1.4.7-1
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-6
gvfs 1.57.2-4
hashcat 1:7.1.1-1
hexchat 2.16.2-5
hollywood 1.21-7
htop 3.4.1-1
hydra 9.5-2
i3-wm 4.24-1
i3blocks 1.5-4
i3lock-color 2.13.c.5-3
i3status 2.15-1
imagemagick 7.1.2.1-1
intel-media-driver 25.2.5-1
intel-ucode 20250812-1
iwd 3.9-1
john 1.9.0.jumbo1-11
jq 1.8.1-1
libpulse 17.0+r43+g3e2bb8a1e-1
libva-intel-driver 2.4.1-5
light-locker 1.9.0-5
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
lightdm-gtk-greeter-settings 1.2.3-3
linux 6.16.1.arch1-1
linux-firmware 20250808-1
linux-headers 6.16.1.arch1-1
linux-lts 6.12.42-1
linux-lts-headers 6.12.42-1
lsb-release 2.0.r55.a25a4fc-1
lsd 1.1.5-1
lsof 4.99.5-2
lxappearance 0.6.4-1
macchanger 1.7.0-6
man-db 2.13.1-1
man-pages 6.15-1
mesa-utils 9.0.0-7
metasploit 6.4.73-2
mousepad 0.6.5-1
mpv 1:0.40.0-5
nano 8.5-1
ncdu 2.8.2-3
network-manager-applet 1.36.0-1
networkmanager 1.54.0-1
nmap 7.97-1
nmap-netcat 1.0-4
noto-fonts-emoji 1:2.048-1
openrgb 1.0rc1-1
openvpn 2.6.14-1
pacman-contrib 1.12.0-1
parole 4.20.0-1
pavucontrol 1:6.1-1
picom 12.5-3
pinta 3.0.3-1
pipewire 1:1.4.7-1
pipewire-alsa 1:1.4.7-1
pipewire-jack 1:1.4.7-1
pipewire-pulse 1:1.4.7-1
playerctl 2.4.1-4
plocate 1.1.23-1
polybar 3.7.2-2
postgresql 17.5-5
powershell 7.5.2-1
proxychains-ng 4.17-2
python-adblock 0.6.0-4
python-pip 25.2-1
python-pipx 1.7.1-2
python-pywal16 1:3.8.9-3
qbittorrent 5.1.2-1
qt5ct 1.9-1
qt6ct 0.10-4
